Organisation,Duty Station,Level,Post Title,Closing Date,Posting Retrieved,Descriptions
UN ESCWA,BEIRUT,P-3,"Statistician  - Economic, Social and Development, Statistics",2023-02-18,2023-01-21,https://unjoblist.org/r/?450604
UNCTAD,GENEVA,P-2,"ASSOCIATE STATISTICIAN (Temporary Job Opening)  [Temporary] - Economic, Social and Development, Statistics",2023-02-22,2023-02-16,https://unjoblist.org/r/?451985
UN DESA,NEW YORK,P-3,"Statistician  [Temporary] - Economic, Social and Development, Statistics",2023-02-23,2023-02-12,https://unjoblist.org/r/?451753
UNECA,ADDIS ABABA,P-3,"Statistician (2 positions)  - Economic, Social and Development, Statistics",2023-03-16,2023-02-01,https://unjoblist.org/r/?451178
WHO,South Sudan-Juba,,Health Service Functionality project Data Liaison  Consultant,2023-01-25,2023-01-18,https://unjoblist.org/r/?450407
WHO,Maldives-Male,,"National Consultant - Sentinel Site Surveillance and Data Manager, National Influenza Program",2023-01-31,2023-01-17,https://unjoblist.org/r/?450343
WHO,Congo-Brazzaville,No grade,Data Manager,2023-02-20,2023-02-14,https://unjoblist.org/r/?451832
UNDP,"New York,  UNITED STATES OF AMERICA",International Consul,Research and Data Analyst Consultant,2023-02-20,2023-02-15,https://unjoblist.org/r/?451872
UNOPS,"Jakarta, Indonesia",P4,Senior Programme Manager (Strategy lead - Global Data Access Initiative )  IT | Project Management | Programme Management,2023-02-21,2023-02-09,https://unjoblist.org/r/?451536
WHO,Tajikistan-Dushanbe,NO-B,Project Officer (Data and Digital Health),2023-02-23,2023-02-02,https://unjoblist.org/r/?451247
UNDP,"New York,  UNITED STATES OF AMERICA",International Consul,Statistics and Data Specialist Consultant,2023-02-23,2023-02-15,https://unjoblist.org/r/?451874
WHO,Switzerland-Geneva,P5,Team Lead (Operations Support and Data Analytics),2023-02-24,2023-02-03,https://unjoblist.org/r/?451320
WHO,Anywhere,,Consultant - Data Scientist for Pandemic and Epidemic Intelligence,2023-02-25,2023-02-11,https://unjoblist.org/r/?451733
UNDP,"Dhaka, Bangladesh",NB4,** Knowledge and Data Analyst (NPSA8),2023-02-28,2023-02-15,https://unjoblist.org/r/?451878
WHO,Bangladesh-Dhaka,No grade,Data Manager,2023-03-01,2023-02-09,https://unjoblist.org/r/?451579
WHO,Indonesia-Jakarta,No grade,ILI SARI Data Assistant,2023-03-01,2023-02-09,https://unjoblist.org/r/?451580
GAVI,Geneva,-,"Senior Programme Officer, COVAX Data, Monitoring and Insights (Temporary)",2023-03-01,2023-02-09,https://unjoblist.org/r/?451606
WHO,"United States-Washington, D.C.",P2,"Technical Officer, Data Management and Reporting",2023-03-02,2023-02-16,https://unjoblist.org/r/?451963
WHO,Philippines-Manila,G4,"Assistant (Data, Strategy and Innovation Group-DSI)",2023-03-03,2023-02-17,https://unjoblist.org/r/?452038
UNEP,NAIROBI,P-4,"DATA SPECIALIST  - Public Information and Conference Management, Data Analytics and Management",2023-03-05,2023-01-21,https://unjoblist.org/r/?450601
WHO,United Arab Emirates-Dubai,P3,Data Quality Officer,2023-03-07,2023-02-14,https://unjoblist.org/r/?451825
WHO,Anywhere,,Roster of consultants – Health Accounts Data,2023-03-08,2023-02-15,https://unjoblist.org/r/?451902
WHO,Anywhere,,Consultant - GIS Data Management,2023-03-12,2023-02-10,https://unjoblist.org/r/?451669
UN DGACM,VIENNA,P-4,"DATA ENGINEER  - Public Information and Conference Management, Data Analytics and Management",2023-03-30,2023-02-16,https://unjoblist.org/r/?451988
UN OSAA,NEW YORK,I-1,"INTERN - DATA ANALYST  [Temporary] -  , Internship",2023-04-24,2023-01-26,https://unjoblist.org/r/?450879
WHO,Fiji-Suva,P3,Technical Officer (NCD),2021-12-30,2021-12-16,https://unjoblist.org/r/?430599
UNDP,"Manila, Philippines",NB4,** Supervising Evaluation Officer (NIM/NPSA8),2023-02-03,2023-01-21,https://unjoblist.org/r/?450567
UN,GENEVA,P-2,"Associate Administrative Officer  - Management and Administration, Administration",2023-02-09,2023-01-12,https://unjoblist.org/r/?450165
UNDP,"Vinnytsia, Ukraine",NOA,"** Assistant Humanitarian Affairs Officer/Field Coordination (2 Positions)-Vinnytsia, Kropyvnytskyi  (nationals only)  Coordination",2023-02-12,2023-01-30,https://unjoblist.org/r/?451051
MINUSCA,BANGUI,P-4,"JUDICIAL AFFAIRS OFFICER  [Temporary] - Political, Peace and Humanitarian, Rule of Law",2023-02-12,2023-02-07,https://unjoblist.org/r/?451443
UN SG,NEW YORK,P-4,"POLITICAL AFFAIRS OFFICER  [Temporary] - Political, Peace and Humanitarian, Political Affairs",2023-02-13,2023-02-09,https://unjoblist.org/r/?451586
UNDP,"Ha Noi, Viet Nam",NPSA-9,** National Project Officer on Insurance and Risk Finance,2023-02-15,2023-02-01,https://unjoblist.org/r/?451140
UNDP,"Kabul, Afghanistan",NOB,** Security and Government Liaison Officer (SGLO) (nationals),2023-02-15,2023-02-10,https://unjoblist.org/r/?451642
UNDP,"Home-based with possibility of travel to the West bank including East Jerusalem.,  PALESTINIAN TERRI",National Consultant,Field Monitoring and Evaluation Officer,2023-02-16,2023-02-07,https://unjoblist.org/r/?451424
UNDP,"Home-based with possibility of travel to different parts of the West bank and the Gaza Strip,  PALES",National Consultant,Field Monitoring and Evaluation Officer (Part-time 50%),2023-02-16,2023-02-07,https://unjoblist.org/r/?451425
MINUSMA,BAMAKO,P-3,"CIVIL AFFAIRS OFFICER  [Temporary] - Political, Peace and Humanitarian, Civil Affairs",2023-02-16,2023-02-11,https://unjoblist.org/r/?451721
UNCTAD,GENEVA,P-3,"Economic Affairs Officer  - Economic, Social and Development, Economic Affairs (and Sustainable Development)",2023-02-17,2023-01-20,https://unjoblist.org/r/?450546
UNCTAD,KUALA LUMPUR,P-3,"Information Systems Officer  - Information and Telecommunication Technology, Information Management Systems and Technology",2023-02-17,2023-01-20,https://unjoblist.org/r/?450547
UNIFIL,NAQOURA,P-3,"LEGAL OFFICER  - Legal, Legal Affairs",2023-02-17,2023-02-04,https://unjoblist.org/r/?451370
MINUSMA,BAMAKO,P-5,"SENIOR PROTECTION OF CIVILIANS OFFICER  - Political, Peace and Humanitarian, Human Rights Affairs",2023-02-17,2023-02-04,https://unjoblist.org/r/?451372
MINUSMA,BAMAKO,P-4,"JUDICIAL AFFAIRS OFFICER  [Temporary] - Political, Peace and Humanitarian, Rule of Law",2023-02-17,2023-02-04,https://unjoblist.org/r/?451373
UNSOM,MOGADISHU,P-3,"LOGISTICS OFFICER  [Temporary] - Logistics, Transportation and Supply Chain, Logistics and Supply Chain",2023-02-17,2023-02-04,https://unjoblist.org/r/?451375
